site,date,beetles,blackflies,clams,common_netspinners,Crayfish,dragonflies_damselflies,flatworms,fw_shrimp,gilled_snails,gomphidae,hellgrammites,leeches,lunged_snails,mayflies,midges,most_caddisflies,most_frue_flies,other,scubs,sowbugs,stoneflies,true_bugs,worms
09-PL01-Col-DR20,3/2/15,1,0,0,74,0,0,0,,0,,0,0,2,0,83,14,4,0,0,1,0,,63
09-PL01-Col-DR20,8/20/15,6,0,0,100,0,5,2,,0,,0,2,0,0,66,33,2,,2,0,0,,7
09-PL01-Col-DR20,11/14/15,7,0,0,50,0,0,8,,0,,0,0,1,0,36,76,7,0,0,0,0,,15
09-PL01-Col-DR20,4/24/16,5,4,0,3,0,2,0,,0,,0,0,0,0,177,1,2,0,2,0,0,,12
09-PL01-Col-DR20,8/27/16,10,3,0,90,0,3,1,,0,,0,1,0,1,22,75,5,0,0,1,0,,3
09-PL02-Sou-SFCAT#5 - LWC#17,4/30/15,94,10,6,41,0,0,11,,0,,0,0,0,9,8,3,0,0,1,0,12,,23
09-PL02-Sou-SFCAT#5 - LWC#17,8/31/15,84,28,5,76,0,2,13,,0,,1,0,0,8,2,0,0,,0,1,1,,14
09-PL02-Sou-SFCAT#5 - LWC#17,5/20/16,32,5,0,19,0,5,0,,0,,0,0,0,47,78,0,3,0,0,0,36,,2
09-PL03-Mil-MILL#2 - LWC #11,5/17/15,58,0,1,35,0,3,0,,0,,4,0,4,51,10,14,0,1,0,0,19,,0
09-PL12-Cro-CROOK#1 - LWC #6,4/22/15,87,7,5,26,0,0,4,,0,,2,0,0,6,28,46,12,0,0,0,0,,10
09-PL12-Cro-CROOK#1 - LWC #6,7/21/15,106,1,3,71,0,0,24,,0,,2,0,0,23,2,42,0,,0,0,4,,1
09-PL12-Cro-CROOK#1 - LWC #6,10/12/15,76,0,0,37,1,6,2,,0,,5,0,0,53,0,61,1,,0,0,0,,1
09-PL12-Cro-CROOK#1 - LWC #6,4/27/16,46,43,0,8,0,0,0,,0,,0,0,0,31,38,83,1,0,0,0,0,,3
09-PL12-Cro-CROOK#1 - LWC #6,8/23/16,109,0,1,53,1,0,12,,0,,18,0,0,31,6,23,0,,0,0,0,,5
09-PL12-Cro-CROOK#1 - LWC #6,10/24/16,66,0,0,117,0,3,6,,0,,8,0,0,39,0,44,1,0,0,0,0,,0
09-PL16-Tus-TUSCA#1 - LWC#2,11/5/16,2,1,1,187,0,2,43,,0,,0,0,0,6,0,77,0,0,0,0,1,,23
09-PL21-Sug-SLR2,8/21/16,20,2,0,325,3,11,38,,0,,0,3,0,0,4,11,12,0,4,0,0,,6
09-PL21-Sug-SLR4,3/4/15,0,2,0,173,0,1,27,,0,,0,0,0,0,9,0,0,0,0,0,0,,0
09-PL21-Sug-SLR4,10/22/15,0,0,0,192,0,3,2,,0,,1,4,0,0,1,9,8,0,0,0,0,,37
09-PL21-Sug-SLR4,1/15/16,6,5,0,232,0,3,39,,1,,0,0,1,0,49,2,10,0,0,0,0,,81
09-PL21-Sug-SLR4,3/5/16,0,2,0,105,0,0,10,,0,,0,3,2,0,25,4,1,0,0,0,0,,163
09-PL21-Sug-SLR4,7/20/16,8,0,0,71,0,11,8,,0,,1,5,3,0,31,0,4,0,0,0,0,,63
09-PL21-Sug-SLR4,10/21/16,7,0,0,130,0,0,6,,0,,0,0,0,3,1,14,1,0,0,0,0,,76
09-PL21-Sug-SLR6,7/25/15,21,1,,109,1,,13,,,,1,,,5,141,,1,,3,,,,3
09-PL21-Sug-SLR6,4/24/16,12,9,,3,,,1,,,,,,,1,179,,2,,5,,,,664
09-PL22-Col-DR27,3/3/15,3,0,0,285,0,0,0,,0,,1,0,0,0,11,6,29,,0,0,0,,2
09-PL22-Col-DR27,8/12/15,23,6,1,228,0,0,0,,0,,0,6,5,33,10,38,0,0,0,0,0,,18
09-PL22-Col-DR27,11/24/15,7,1,0,451,0,,57,,0,,0,0,2,0,15,6,5,0,0,0,0,,0
09-PL22-Col-DR27,2/22/16,4,0,0,290,0,0,30,,1,,0,0,2,0,77,10,3,0,0,0,0,,89
09-PL22-Col-DR27,4/25/16,13,11,,42,,,,,,,,,,109,349,1,2,,,,,,67
09-PL22-Col-DR27,10/24/16,11,4,0,714,0,0,10,,0,,0,0,0,9,2,102,0,0,0,0,0,,34
09-PL22-Col-DR28,8/30/15,60,4,,202,,,,,,,3,,,7,9,29,,,,1,11,,
09-PL22-Col-DR28,10/16/15,61,52,0,91,0,0,45,,0,,0,1,0,45,3,54,2,0,1,0,0,,
09-PL22-Col-DR28,10/15/16,42,87,1,25,0,1,76,,0,,0,2,0,84,0,81,0,0,1,0,0,,5
09-PL22-Sna-DR19,8/18/15,0,7,0,120,0,33,8,,0,,0,1,2,0,19,12,5,0,0,0,0,,32
09-PL22-Sna-DR19,9/24/15,2,0,0,172,0,9,6,,0,,0,1,7,22,31,2,6,,0,0,0,,18
09-PL22-Sna-DR19,2/20/16,1,1,0,138,0,4,0,,0,,0,0,2,0,75,2,7,0,0,0,0,,26
09-PL22-Sna-DR19,5/12/16,0,0,0,9,0,9,0,,0,,0,0,4,0,179,1,0,0,0,0,0,,28
09-PL22-Sna-DR19,8/8/16,0,4,0,224,0,5,0,,0,,0,0,12,2,40,55,0,0,0,0,0,,14
09-PL22-Sna-DR19,10/6/16,2,0,0,247,1,4,2,,0,,0,3,2,10,23,159,2,0,1,0,0,,12
09-PL22-Sna-DR29,9/26/15,0,0,0,0,0,0,0,,0,,0,0,0,0,198,0,0,0,0,0,0,,57
09-PL22-Sna-DR29,1/14/16,0,0,0,0,0,0,0,,0,,0,0,50,0,123,0,0,0,0,0,0,,119
09-PL22-Sna-DR29,4/11/16,0,0,0,0,0,0,0,,0,,0,0,0,0,150,0,0,0,0,0,0,,331
09-PL22-Sna-DR29,8/8/16,3,12,0,119,0,0,2,,0,,0,0,5,21,25,0,1,0,0,0,0,,24
09-PL22-Sna-DR29,11/28/16,0,0,0,0,0,0,0,,0,,0,0,2,0,240,0,5,0,0,0,0,,22
09-PL22-Sna-DR3,10/30/15,11,1,0,27,0,0,5,,0,,1,6,0,1,2,187,2,0,56,0,0,,17
09-PL22-Sna-DR3,2/22/16,1,2,0,56,0,3,0,,0,,0,22,0,1,115,59,1,0,69,0,0,,14
09-PL22-Sna-DR3,4/15/16,34,12,0,2,1,1,0,,0,,1,2,0,0,158,25,1,0,28,0,0,,6
09-PL22-Sna-DR3,8/26/16,24,0,0,79,0,13,6,,0,,2,0,0,0,26,149,1,0,54,0,0,,6
09-PL22-Sna-DR3,11/5/16,4,0,0,20,0,0,18,,0,,0,1,0,1,12,146,3,0,130,0,0,,4
09-PL22-Sna-DR30,8/31/15,9,15,0,27,0,0,106,,0,,0,0,0,32,23,0,8,0,0,0,0,,15
09-PL22-Sna-DR30,3/29/16,4,0,0,5,0,1,7,,0,,1,1,0,0,202,0,7,0,0,0,0,,26
09-PL22-Sna-DR30,8/26/16,24,0,0,9,0,27,110,,0,,0,20,1,7,52,9,1,0,26,0,0,,21
09-PL22-Sna-DR30,10/4/16,4,0,0,16,0,8,66,,0,,1,1,0,5,44,15,34,0,4,0,14,,36
09-PL22-The-DR17,5/13/15,1,1,0,13,0,1,0,,1,,0,1,1,0,257,0,4,0,1,0,0,,23
09-PL22-The-DR17,8/6/15,0,0,0,137,0,1,0,,1,,0,1,0,0,27,20,4,0,0,0,0,,10
09-PL22-The-DR17,11/6/15,6,0,0,29,0,6,2,,0,,0,0,0,0,8,21,20,0,4,0,0,,4
