Code,Name,NameLong,Lat,Long,Cbseg,WaterBody,Description,Datum,CityCounty,Tidal,Comments,Fips,Huc12,State,Huc6Name
RAS.09-PL01-Col-DR20,09-PL01-Col-DR20,,38.9632152,-77.3325106,,Difficult Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700081004,Virginia,Potomac
VSOS.09-PL02-Sou-SFCAT#5 - LWC#17,09-PL02-Sou-SFCAT#5 - LWC#17,,39.1902,-77.6149,,South Fork Catoctin Creek,NULL,NAD83,Loudoun County,0,NULL,51107,20700080301,Virginia,
VSOS.09-PL03-Mil-MILL#2 - LWC #11,09-PL03-Mil-MILL#2 - LWC #11,,39.241667,-77.673333,,Catoctin Creek,NULL,NAD83,Loudoun County,0,NULL,51107,20700080302,Virginia,
VSOS.09-PL12-Cro-CROOK#1 - LWC #6,09-PL12-Cro-CROOK#1 - LWC #6,,39.0912,-77.684,,North Fork Goose Creek,NULL,NAD83,Loudoun County,0,NULL,51107,20700080602,Virginia,
VSOS.09-PL16-Tus-TUSCA#1 - LWC#2,09-PL16-Tus-TUSCA#1 - LWC#2,,39.105,-77.560833,,Cattail Branch-Goose Creek,NULL,NAD83,Loudoun County,0,NULL,51107,20700080704,Virginia,
RAS.09-PL21-Sug-SLR2,09-PL21-Sug-SLR2,,38.9591922,-77.3713976,,Sugarland Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700080905,Virginia,Potomac
RAS.09-PL21-Sug-SLR4,09-PL21-Sug-SLR4,,38.9787922,-77.3643976,,Sugarland Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700080905,Virginia,Potomac
VSOS.09-PL21-Sug-SLR6,09-PL21-Sug-SLR6,,39.00547,-77.372479,,Sugarland Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700080905,Virginia,
RAS.09-PL22-Col-DR27,09-PL22-Col-DR27,,38.9619362,-77.3236086,,Difficult Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700081004,Virginia,Potomac
RAS.09-PL22-Col-DR28,09-PL22-Col-DR28,,38.9569922,-77.3333976,,Difficult Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700081004,Virginia,Potomac
RAS.09-PL22-Sna-DR19,09-PL22-Sna-DR19,,38.9298922,-77.3458976,,Difficult Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700081004,Virginia,Potomac
RAS.09-PL22-Sna-DR29,09-PL22-Sna-DR29,,38.9366922,-77.3588976,,Difficult Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700081004,Virginia,Potomac
RAS.09-PL22-Sna-DR3,09-PL22-Sna-DR3,,38.9337922,-77.3230976,,Difficult Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700081004,Virginia,Potomac
RAS.09-PL22-Sna-DR30,09-PL22-Sna-DR30,,38.9288922,-77.3396976,,Difficult Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700081004,Virginia,Potomac
RAS.09-PL22-The-DR17,09-PL22-The-DR17,,38.9227922,-77.3453976,,Difficult Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700081004,Virginia,Potomac
VSOS.09-PL26-Hol-Holmes Run 2,09-PL26-Hol-Holmes Run 2,,38.8526,-77.1959,,Cameron Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700100302,Virginia,
VSOS.09-PL29-Poh-POH2,09-PL29-Poh-POH2,,38.7234,-77.215,,Pohick Creek,NULL,NAD83,Fairfax County,0,NULL,51059,20700100401,Virginia,
VSOS.09-PL30-Acc-ACC2,09-PL30-Acc-ACC2,,38.837889,-77.221483,,Accotink Creek,In Americana Park on the first large riffle just upstream of the Little River Turnpike overpasses.,NAD83,Fairfax County,0,NULL,51059,20700100402,Virginia,
VSOS.09-PL30-Acc-ACC6,09-PL30-Acc-ACC6,,38.8164,-77.2282,,Accotink Creek,NULL,NAD83,Fairfax County,0,NULL,51059,20700100402,Virginia,
VSOS.09-PL30-Acc-ACC9,09-PL30-Acc-ACC9,,38.8533,-77.2456,,Accotink Creek,NULL,NAD83,Fairfax County,0,NULL,51059,20700100402,Virginia,
VSOS.09-PL43-Cat-Catharpin Run - Elaine Wilson,09-PL43-Cat-Catharpin Run - Elaine Wilson,,38.8509,-77.6352,,Little Bull Run,NULL,NAD83,Prince William County,0,NULL,51153,20700100702,Virginia,
VSOS.09-PL44-Bul-Bull Run - Manassas,09-PL44-Bul-Bull Run - Manassas,,38.804361,-77.556977,,Middle Bull Run,NULL,NAD83,Prince William County,0,NULL,51153,20700100703,Virginia,
VSOS.09-PL45-Big-CR5,09-PL45-Big-CR5,,38.8556,-77.4292,,Cub Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700100704,Virginia,
VSOS.09-PL45-Cub-CR13,09-PL45-Cub-CR13,,38.82114,-77.46545,,Cub Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700100704,Virginia,
VSOS.09-PL45-Cub-CR6,09-PL45-Cub-CR6,,38.8011,-77.4699,,Cub Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700100704,Virginia,
VSOS.09-PL45-Wal-CR 11,09-PL45-Wal-CR 11,,38.8566,-77.4322,,Cub Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700100704,Virginia,
VSOS.09-PL45-Wal-CR-11,09-PL45-Wal-CR-11,,38.8566,-77.4322,,Cub Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700100704,Virginia,
VSOS.09-PL46-Pop-Popes Head Creek - Colchester Rd.,09-PL46-Pop-Popes Head Creek - Colchester Rd.,,38.7889,-77.3621,,Lower Bull Run,NULL,NAD83,Fairfax County,0,NULL,51059,20700100705,Virginia,
VSOS.09-PL48-Giles-GR1,09-PL48-Giles-GR1,,38.706,-77.2382,,Belmont Bay-Occoquan River,"In Laurel Hill Park where the Giles Meadow Trail crosses over the stream, about 1/2 mile from the park entrance at the Lorton Prison visitor's lot.",NAD83,Fairfax County,0,NULL,51059,20700100803,Virginia,
VSOS.10,10,,38.94694,-77.93806,,Crooked Run-Goose Creek,"2256 Winchester Road, Route 17; 50 meters downstream of driveway bridge. 2and 3/10th mile north of Delaplane.",NAD83,Fauquier County,0,NULL,51061,20700080502,Virginia,
VSOS.10-RA11-Nor-R-7,10-RA11-Nor-R-7,,38.6575,-78.2156,,Piney River-Thornton River,NULL,NAD83,Rappahannock County,0,NULL,51157,20801030301,Virginia,
VSOS.10-RA35-Cro-C-1,10-RA35-Cro-C-1,,38.35361,-78.11361,,Crooked Run,NULL,NAD83,Madison County,0,NULL,51113,20801030905,Virginia,
VSOS.12-PS01-Mid-FOMR-MDL ? Godfrey,12-PS01-Mid-FOMR-MDL ? Godfrey,,38.15164,-79.20175,,Edison Creek-Middle River,NULL,NAD83,Augusta County,0,NULL,51015,20700050101,Virginia,
VSOS.12-PS01-Mid-FOMR-MDL ? Sweet,12-PS01-Mid-FOMR-MDL ? Sweet,,38.06619,-79.26566,,Edison Creek-Middle River,NULL,NAD83,Augusta County,0,NULL,51015,20700050101,Virginia,
VSOS.12-PS02-Mid-FOMR-MDL ? Chittum,12-PS02-Mid-FOMR-MDL ? Chittum,,38.20763,-79.16526,,Buffalo Branch-Middle River,NULL,NAD83,Augusta County,0,NULL,51015,20700050102,Virginia,
VSOS.12-PS03-Mid-FOMR-MDL 42.31 Shulman,12-PS03-Mid-FOMR-MDL 42.31 Shulman,,38.23108,-79.09422,,Bell Creek-Middle River,NULL,NAD83,Augusta County,0,NULL,51015,20700050104,Virginia,
VSOS.12-PS07-Mid-FOMR-MDL ? Cline Lane,12-PS07-Mid-FOMR-MDL ? Cline Lane,,38.19062,-78.96989,,Falling Spring Run-Middle River,NULL,NAD83,Augusta County,0,NULL,51015,20700050302,Virginia,
VSOS.12-PS07-Mid-FOMR-MDL 32.01 River Ridge,12-PS07-Mid-FOMR-MDL 32.01 River Ridge,,38.2229,-79.01085,,Falling Spring Run-Middle River,NULL,NAD83,Augusta County,0,NULL,51015,20700050302,Virginia,
VSOS.12-PS11-Mid-FOMR-MDL 15.57 Dam Town,12-PS11-Mid-FOMR-MDL 15.57 Dam Town,,38.21893,-78.93209,,Broad Run-Middle River,NULL,NAD83,Augusta County,0,NULL,51015,20700050303,Virginia,
VSOS.12-PS71-Ced-CC7,12-PS71-Ced-CC7,,38.9754,-78.5577,,Paddy Run-Cedar Creek,NULL,NAD83,Shenandoah County,0,NULL,51171,20700060601,Virginia,
VSOS.12-PS72-Ced-CC3,12-PS72-Ced-CC3,,39.0754,-78.4337,,Duck Run-Cedar Creek,NULL,NAD83,Frederick County,0,NULL,51069,20700060602,Virginia,
VSOS.12-PS74-Ced-CC1,12-PS74-Ced-CC1,,39.0982,-78.3499,,Froman Run-Cedar Creek,NULL,NAD83,Shenandoah County,0,NULL,51171,20700060604,Virginia,
VSOS.13-JM01-Cow-Cowpasture - Walton Tract,13-JM01-Cow-Cowpasture - Walton Tract,,37.56507,-79.42209,,Otter Creek-James River,NULL,NAD83,Bedford County,0,NULL,51019,20802030101,Virginia,
VSOS.13-JU30-Cow-Liberty - CpR,13-JU30-Cow-Liberty - CpR,,38.17201,-79.17377,,Edison Creek-Middle River,NULL,NAD83,Augusta County,0,NULL,51015,20700050101,Virginia,
VSOS.13-JU34-Cow-Cowpasture - Windy Cove Lower,13-JU34-Cow-Cowpasture - Windy Cove Lower,,37.99428,-79.6407,,Mill Creek-Cowpasture River,NULL,NAD83,Bath County,0,NULL,51017,20802010801,Virginia,
VSOS.13-JU36-Cow-Cowpasture - Upper Sharon,13-JU36-Cow-Cowpasture - Upper Sharon,,37.50567,-79.44156,,Reed Creek,NULL,NAD83,Bedford County,0,NULL,51019,20802030102,Virginia,
VSOS.13-JU63-Bul-Bullpasture - Clover Creek Lower,13-JU63-Bul-Bullpasture - Clover Creek Lower,,38.16029,-79.3302,,Holloway Draft-Calfpasture River,NULL,NAD83,Augusta County,0,NULL,51015,20802020103,Virginia,
VSOS.13-JU74-Mou-12-MOU-01,13-JU74-Mou-12-MOU-01,,37.874,-79.379,,Alone Mill Creek-Maury River,NULL,NAD83,Rockbridge County,0,NULL,51163,20802020301,Virginia,
VSOS.13-PS02-Bul-McDowell,13-PS02-Bul-McDowell,,38.19548,-79.29157,,Buffalo Branch-Middle River,NULL,NAD83,Augusta County,0,NULL,51015,20700050102,Virginia,
VSOS.14-PL24-LPim_LittlePimmit01,14-PL24-LPim_LittlePimmit01,,38.928255,-77.142314,,Pimmit Run-Potomac River,In the restored section of the stream behind 1605 Maddux Lane,NAD83,Fairfax County,0,NULL,51059,20700100103,Virginia,
VSOS.15,15,,38.93306,-77.80778,,Cromwells Run,"Map 5516, Sect. A1. Smitten Farm Rd. ext. 2 miles from Zulla Rd. Go to fork past the 1st bridge, bear right.  Continue past house, barn, pastures to cattle guard and blue gate. Go down to stream on right, just downstream of  bridge.",NAD83,Fauquier County,0,NULL,51061,20700080504,Virginia,
