date,B,BF,CL,CN,C,DD,F,GS,HFA,L,LS,M,MI,MC,MTF,OO,SC,SB,SF,W,SiteId
2015-03-02,1,0,0,74,0,0,0,0,0,0,2,0,83,14,4,0,0,1,0,63,1
2015-08-20,6,0,0,100,0,5,2,0,0,2,0,0,66,33,2,0,2,0,0,7,1
2015-11-14,7,0,0,50,0,0,8,0,0,0,1,0,36,76,7,0,0,0,0,15,1
2016-04-24,5,4,0,3,0,2,0,0,0,0,0,0,177,1,2,0,2,0,0,12,1
2016-08-27,10,3,0,90,0,3,1,0,0,1,0,1,22,75,5,0,0,1,0,3,1
2016-08-21,20,2,0,325,3,11,38,0,0,3,0,0,4,11,12,0,4,0,0,6,6
2015-03-04,0,2,0,173,0,1,27,0,0,0,0,0,9,0,0,0,0,0,0,0,7
2015-10-22,0,0,0,192,0,3,2,0,1,4,0,0,1,9,8,0,0,0,0,37,7
2016-01-15,6,5,0,232,0,3,39,1,0,0,1,0,49,2,10,0,0,0,0,81,7
2016-03-05,0,2,0,105,0,0,10,0,0,3,2,0,25,4,1,0,0,0,0,163,7
2016-07-20,8,0,0,71,0,11,8,0,1,5,3,0,31,0,4,0,0,0,0,63,7
2016-10-21,7,0,0,130,0,0,6,0,0,0,0,3,1,14,1,0,0,0,0,76,7
2015-07-25,21,1,0,109,1,0,13,0,1,0,0,5,141,0,1,0,3,0,0,3,8
2016-04-24,12,9,0,3,0,0,1,0,0,0,0,1,179,0,2,0,5,0,0,664,8
2015-03-03,3,0,0,285,0,0,0,0,1,0,0,0,11,6,29,0,0,0,0,2,9
2015-08-12,23,6,1,228,0,0,0,0,0,6,5,33,10,38,0,0,0,0,0,18,9
2015-11-24,7,1,0,451,0,0,57,0,0,0,2,0,15,6,5,0,0,0,0,0,9
2016-02-22,4,0,0,290,0,0,30,1,0,0,2,0,77,10,3,0,0,0,0,89,9
2016-04-25,13,11,0,42,0,0,0,0,0,0,0,109,349,1,2,0,0,0,0,67,9
2016-10-24,11,4,0,714,0,0,10,0,0,0,0,9,2,102,0,0,0,0,0,34,9
2015-08-30,60,4,0,202,0,0,0,0,3,0,0,7,9,29,0,0,0,1,11,0,10
2015-10-16,61,52,0,91,0,0,45,0,0,1,0,45,3,54,2,0,1,0,0,0,10
2016-10-15,42,87,1,25,0,1,76,0,0,2,0,84,0,81,0,0,1,0,0,5,10
2015-08-18,0,7,0,120,0,33,8,0,0,1,2,0,19,12,5,0,0,0,0,32,11
2015-09-24,2,0,0,172,0,9,6,0,0,1,7,22,31,2,6,0,0,0,0,18,11
2016-02-20,1,1,0,138,0,4,0,0,0,0,2,0,75,2,7,0,0,0,0,26,11
2016-05-12,0,0,0,9,0,9,0,0,0,0,4,0,179,1,0,0,0,0,0,28,11
2016-08-08,0,4,0,224,0,5,0,0,0,0,12,2,40,55,0,0,0,0,0,14,11
2016-10-06,2,0,0,247,1,4,2,0,0,3,2,10,23,159,2,0,1,0,0,12,11
2015-09-26,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,57,12
2016-01-14,0,0,0,0,0,0,0,0,0,0,50,0,123,0,0,0,0,0,0,119,12
2016-04-11,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,331,12
2016-08-08,3,12,0,119,0,0,2,0,0,0,5,21,25,0,1,0,0,0,0,24,12
