site,lat,long,water_body,city_county,state
09-PL01-Col-DR20,38.9632152,-77.3325106,Difficult Run,Fairfax County,Virginia
09-PL02-Sou-SFCAT#5 - LWC#17,39.1902,-77.6149,South Fork Catoctin Creek,Loudoun County,Virginia
09-PL03-Mil-MILL#2 - LWC #11,39.241667,-77.673333,Catoctin Creek,Loudoun County,Virginia
09-PL12-Cro-CROOK#1 - LWC #6,39.0912,-77.684,North Fork Goose Creek,Loudoun County,Virginia
09-PL16-Tus-TUSCA#1 - LWC#2,39.105,-77.560833,Cattail Branch-Goose Creek,Loudoun County,Virginia
09-PL21-Sug-SLR2,38.9591922,-77.3713976,Sugarland Run,Fairfax County,Virginia
09-PL21-Sug-SLR4,38.9787922,-77.3643976,Sugarland Run,Fairfax County,Virginia
09-PL21-Sug-SLR6,39.00547,-77.372479,Sugarland Run,Fairfax County,Virginia
09-PL22-Col-DR27,38.9619362,-77.3236086,Difficult Run,Fairfax County,Virginia
09-PL22-Col-DR28,38.9569922,-77.3333976,Difficult Run,Fairfax County,Virginia
09-PL22-Sna-DR19,38.9298922,-77.3458976,Difficult Run,Fairfax County,Virginia
09-PL22-Sna-DR29,38.9366922,-77.3588976,Difficult Run,Fairfax County,Virginia
09-PL22-Sna-DR3,38.9337922,-77.3230976,Difficult Run,Fairfax County,Virginia
09-PL22-Sna-DR30,38.9288922,-77.3396976,Difficult Run,Fairfax County,Virginia
09-PL22-The-DR17,38.9227922,-77.3453976,Difficult Run,Fairfax County,Virginia
09-PL26-Hol-Holmes Run 2,38.8526,-77.1959,Cameron Run,Fairfax County,Virginia
09-PL29-Poh-POH2,38.7234,-77.215,Pohick Creek,Fairfax County,Virginia
09-PL30-Acc-ACC2,38.837889,-77.221483,Accotink Creek,Fairfax County,Virginia
09-PL30-Acc-ACC6,38.8164,-77.2282,Accotink Creek,Fairfax County,Virginia
09-PL30-Acc-ACC9,38.8533,-77.2456,Accotink Creek,Fairfax County,Virginia
09-PL43-Cat-Catharpin Run - Elaine Wilson,38.8509,-77.6352,Little Bull Run,Prince William County,Virginia
09-PL44-Bul-Bull Run - Manassas,38.804361,-77.556977,Middle Bull Run,Prince William County,Virginia
09-PL45-Big-CR5,38.8556,-77.4292,Cub Run,Fairfax County,Virginia
09-PL45-Cub-CR13,38.82114,-77.46545,Cub Run,Fairfax County,Virginia
09-PL45-Cub-CR6,38.8011,-77.4699,Cub Run,Fairfax County,Virginia
09-PL45-Wal-CR 11,38.8566,-77.4322,Cub Run,Fairfax County,Virginia
09-PL45-Wal-CR-11,38.8566,-77.4322,Cub Run,Fairfax County,Virginia
09-PL46-Pop-Popes Head Creek - Colchester Rd.,38.7889,-77.3621,Lower Bull Run,Fairfax County,Virginia
09-PL48-Giles-GR1,38.706,-77.2382,Belmont Bay-Occoquan River,Fairfax County,Virginia
10,38.94694,-77.93806,Crooked Run-Goose Creek,Fauquier County,Virginia
10-RA11-Nor-R-7,38.6575,-78.2156,Piney River-Thornton River,Rappahannock County,Virginia
10-RA35-Cro-C-1,38.35361,-78.11361,Crooked Run,Madison County,Virginia
12-PS01-Mid-FOMR-MDL ? Godfrey,38.15164,-79.20175,Edison Creek-Middle River,Augusta County,Virginia
12-PS01-Mid-FOMR-MDL ? Sweet,38.06619,-79.26566,Edison Creek-Middle River,Augusta County,Virginia
12-PS02-Mid-FOMR-MDL ? Chittum,38.20763,-79.16526,Buffalo Branch-Middle River,Augusta County,Virginia
12-PS03-Mid-FOMR-MDL 42.31 Shulman,38.23108,-79.09422,Bell Creek-Middle River,Augusta County,Virginia
12-PS07-Mid-FOMR-MDL ? Cline Lane,38.19062,-78.96989,Falling Spring Run-Middle River,Augusta County,Virginia
12-PS07-Mid-FOMR-MDL 32.01 River Ridge,38.2229,-79.01085,Falling Spring Run-Middle River,Augusta County,Virginia
12-PS11-Mid-FOMR-MDL 15.57 Dam Town,38.21893,-78.93209,Broad Run-Middle River,Augusta County,Virginia
12-PS71-Ced-CC7,38.9754,-78.5577,Paddy Run-Cedar Creek,Shenandoah County,Virginia
12-PS72-Ced-CC3,39.0754,-78.4337,Duck Run-Cedar Creek,Frederick County,Virginia
12-PS74-Ced-CC1,39.0982,-78.3499,Froman Run-Cedar Creek,Shenandoah County,Virginia
13-JM01-Cow-Cowpasture - Walton Tract,37.56507,-79.42209,Otter Creek-James River,Bedford County,Virginia
13-JU30-Cow-Liberty - CpR,38.17201,-79.17377,Edison Creek-Middle River,Augusta County,Virginia
13-JU34-Cow-Cowpasture - Windy Cove Lower,37.99428,-79.6407,Mill Creek-Cowpasture River,Bath County,Virginia
13-JU36-Cow-Cowpasture - Upper Sharon,37.50567,-79.44156,Reed Creek,Bedford County,Virginia
13-JU63-Bul-Bullpasture - Clover Creek Lower,38.16029,-79.3302,Holloway Draft-Calfpasture River,Augusta County,Virginia
13-JU74-Mou-12-MOU-01,37.874,-79.379,Alone Mill Creek-Maury River,Rockbridge County,Virginia
13-PS02-Bul-McDowell,38.19548,-79.29157,Buffalo Branch-Middle River,Augusta County,Virginia
14-PL24-LPim_LittlePimmit01,38.928255,-77.142314,Pimmit Run-Potomac River,Fairfax County,Virginia
15,38.93306,-77.80778,Cromwells Run,Fauquier County,Virginia
